,Number of annotations
"('Non-Viable', 'Non-Viable', 'Non-Viable')",7301
"('Empty', 'Empty', 'Empty')",476
"('Viable', 'Viable', 'Viable')",118
"('Empty', 'Empty', 'Non-Viable')",521
"('Empty', 'Non-Viable', 'Non-Viable')",732
"('Non-Viable', 'Non-Viable', 'Viable')",486
"('Non-Viable', 'Viable', 'Viable')",159
"('Empty', 'Empty', 'Viable')",1
"('Non-Viable', 'Non-Viable', 'Undetected')",1180
"('Empty', 'Empty', 'Undetected')",647
"('Non-Viable', 'Undetected', 'Undetected')",675
"('Empty', 'Undetected', 'Undetected')",736
"('Empty', 'Non-Viable', 'Undetected')",227
"('Undetected', 'Undetected', 'Viable')",9
"('Non-Viable', 'Undetected', 'Viable')",30
"('Undetected', 'Viable', 'Viable')",4
Total,13302
