,Number of annotations
"('Non-Viable', 'Non-Viable', 'Non-Viable')",7765
"('Empty', 'Empty', 'Empty')",572
"('Viable', 'Viable', 'Viable')",119
"('Empty', 'Empty', 'Non-Viable')",556
"('Empty', 'Non-Viable', 'Non-Viable')",774
"('Non-Viable', 'Non-Viable', 'Viable')",506
"('Non-Viable', 'Viable', 'Viable')",162
"('Empty', 'Empty', 'Viable')",1
"('Non-Viable', 'Non-Viable', 'Undetected')",482
"('Empty', 'Empty', 'Undetected')",580
"('Non-Viable', 'Undetected', 'Undetected')",336
"('Empty', 'Undetected', 'Undetected')",462
"('Empty', 'Non-Viable', 'Undetected')",170
"('Undetected', 'Undetected', 'Viable')",5
"('Undetected', 'Viable', 'Viable')",1
"('Non-Viable', 'Undetected', 'Viable')",2
Total,12493
