Photo_ID,Original_ID,Serial_number,filename,width,height,resolutions,Catalogue_number,Accepted Name,Genus,Species,Abbreviation,Subspecific Taxon Text,Authorship,Verification Status
1,323998,323998,001.jpg,2560,2048,2560_2048,K:MSB-000323998,Epidendrum difforme,Epidendrum,difforme,,,Jacq.,Identification by collector unverified
2,323998_02,323998,002.jpg,2560,2048,2560_2048,K:MSB-000323998,Epidendrum difforme,Epidendrum,difforme,,,Jacq.,Identification by collector unverified
3,323998_03,323998,003.jpg,2560,2048,2560_2048,K:MSB-000323998,Epidendrum difforme,Epidendrum,difforme,,,Jacq.,Identification by collector unverified
4,336646_01,336646,004.jpg,2560,2048,2560_2048,K:MSB-000336646,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Identification by collector unverified
5,336646_one by the bubble,336646,005.jpg,2560,2048,2560_2048,K:MSB-000336646,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Identification by collector unverified
6,336646_one by the snake and the similar,336646,006.jpg,2560,2048,2560_2048,K:MSB-000336646,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Identification by collector unverified
7,336646_probably nothing,336646,007.jpg,2560,2048,2560_2048,K:MSB-000336646,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Identification by collector unverified
8,365000_00,365000,008.jpg,2560,2048,2560_2048,K:MSB-000365000,Angraecum,Angraecum,,,,Bory,Identification by collector unverified
9,365000_01,365000,009.jpg,2560,2048,2560_2048,K:MSB-000365000,Angraecum,Angraecum,,,,Bory,Identification by collector unverified
10,365000_02,365000,010.jpg,2560,2048,2560_2048,K:MSB-000365000,Angraecum,Angraecum,,,,Bory,Identification by collector unverified
11,365000_03,365000,011.jpg,2560,2048,2560_2048,K:MSB-000365000,Angraecum,Angraecum,,,,Bory,Identification by collector unverified
12,394660_00,394660,012.jpg,2560,2048,2560_2048,K:MSB-000394660,Polystachya rosea,Polystachya,rosea,,,Ridl.,Field identification by specialist verified
13,394660_01,394660,013.jpg,2560,2048,2560_2048,K:MSB-000394660,Polystachya rosea,Polystachya,rosea,,,Ridl.,Field identification by specialist verified
14,394660_02,394660,014.jpg,2560,2048,2560_2048,K:MSB-000394660,Polystachya rosea,Polystachya,rosea,,,Ridl.,Field identification by specialist verified
