,Photo_ID,Original_ID,Serial_number,filename,width,height,resolutions,Catalogue_number,Accepted Name,Genus,Species,Abbreviation,Subspecific Taxon Text,Authorship,Verification Status
count,518.0,518,518.0,518,518.0,518.0,518,513,513,513,491,22,22,513,513
unique,,443,,518,,,7,106,87,40,79,1,3,49,5
top,,784720_00,,001.jpg,,,2560_2048,K:MSB-000641319,Cymbidium bicolor,Polystachya,bicolor,subsp.,pubescens,Lindl.,Verified by Kew
freq,,2,,1,,,487,18,26,78,37,22,11,108,346
mean,260.6756756756757,,687025.1814671814,,2547.644787644788,2034.5019305019305,,,,,,,,,
std,150.9273558944154,,165230.1712500972,,125.26896896650663,101.32794774558359,,,,,,,,,
min,1.0,,288424.0,,1280.0,1024.0,,,,,,,,,
25%,130.25,,641319.0,,2560.0,2048.0,,,,,,,,,
50%,259.5,,696272.0,,2560.0,2048.0,,,,,,,,,
75%,390.75,,814324.0,,2560.0,2048.0,,,,,,,,,
max,522.0,,1037685.0,,2560.0,2048.0,,,,,,,,,
