,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,105,105.0,105.0,105.0,105.0,105.0,105.0,105.0
unique,105,,,,,,,
top,001.jpg,,,,,,,
freq,1,,,,,,,
mean,,4.438095238095238,86.17142857142858,13.857142857142858,104.46666666666667,0.03409989963902912,53.084134164598126,81.17004311808594
std,,15.791869749435946,103.63197245196926,26.910259900493116,115.022327821323,0.07832032842211421,29.565114494131084,62.033119900094874
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,24.0,1.0,32.0,0.0,37.608613079689306,45.83288535302347
50%,,0.0,52.0,4.0,65.0,0.0,44.994707942791926,61.002362124932745
75%,,1.0,108.0,17.0,127.0,0.02631578947368421,70.32450294375151,110.75197515168747
max,,127.0,639.0,183.0,657.0,0.4219269102990033,173.20910011347905,367.4071173862322
