,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,522,522.0,522.0,522.0,522.0,522.0,522.0,522.0
unique,522,,,,,,,
top,522.jpg,,,,,,,
freq,1,,,,,,,
mean,,4.758620689655173,96.68199233716476,20.457854406130267,121.8984674329502,0.04537880157076906,56.38721017230414,83.27990460589697
std,,15.76492293107816,106.53275032586112,50.189154160910014,129.4933106474817,0.11491427650705059,28.079066628973145,57.1016619714162
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,28.0,2.0,40.0,0.0,38.21517158568248,49.140065127174864
50%,,0.0,64.0,8.0,81.5,0.0,45.70104950304637,62.40715830335912
75%,,2.0,128.75,18.0,161.75,0.027972481827622013,73.17556648748086,108.26157048958628
max,,197.0,888.0,638.0,1089.0,0.7,199.67307291575162,446.29948013264215
