,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes,set
count,518,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518
unique,518,,,,,,,,3
top,001.jpg,,,,,,,,train
freq,1,,,,,,,,310
mean,,4.69,94.72,19.22,118.63,0.05,56.62,83.66,
std,,15.73,100.09,42.33,116.78,0.12,28.03,57.13,
min,,0.0,0.0,0.0,2.0,0.0,16.13,18.75,
25%,,0.0,28.0,2.0,40.0,0.0,38.4,49.45,
50%,,0.0,63.5,8.0,80.5,0.0,45.92,62.5,
75%,,2.0,128.0,18.0,160.75,0.03,73.6,108.77,
max,,197.0,725.0,449.0,771.0,0.7,199.67,446.3,
