,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,310,310.0,310.0,310.0,310.0,310.0,310.0,310.0
unique,310,,,,,,,
top,522.jpg,,,,,,,
freq,1,,,,,,,
mean,,4.97741935483871,96.30645161290323,20.674193548387098,121.95806451612903,0.04533884053213662,57.497557368857485,85.36694614754545
std,,17.716834363281013,100.01886370780547,42.01163706669744,115.77671366325134,0.11865377611758199,30.293373700783867,60.905934453503164
min,,0.0,0.0,0.0,2.0,0.0,16.13071604114337,18.751410203378963
25%,,0.0,28.0,2.0,41.0,0.0,38.428788508644146,50.457694353850094
50%,,0.0,62.5,9.0,83.0,0.0,45.96695574959499,62.291905857011386
75%,,2.0,138.5,20.0,171.75,0.027482269503546097,73.59504145595594,112.27085347280433
max,,197.0,656.0,449.0,719.0,0.7,199.67307291575162,438.92894134807426
