,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,105,105.0,105.0,105.0,105.0,105.0,105.0,105.0
unique,105,,,,,,,
top,001.jpg,,,,,,,
freq,1,,,,,,,
mean,,4.0,90.19047619047619,19.02857142857143,113.21904761904761,0.03285487474377291,56.16304813557379,82.20952615946263
std,,14.067146668198756,110.39980623224488,51.942915623947066,135.18036249000963,0.07764937589333808,36.775430191322755,60.44510760667697
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,25.0,0.0,32.0,0.0,37.2053864959595,45.233800046720226
50%,,0.0,58.0,4.0,65.0,0.0,44.21322932176323,61.289754137736196
75%,,1.0,110.0,12.0,131.0,0.02564102564102564,69.53664814170014,108.39391126811505
max,,123.0,703.0,391.0,735.0,0.462406015037594,287.51116259266286,372.2296181416452
