,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
0,001.jpg,0,53,12,65,0.0,45.75458615096583,64.36186161671546
1,002.jpg,0,57,48,105,0.0,46.1715347270114,72.09650675111996
2,003.jpg,0,99,15,114,0.0,45.4433718363817,67.53696388814106
3,004.jpg,0,68,1,69,0.0,43.6010404077435,54.99130366031405
4,005.jpg,0,38,2,40,0.0,45.51702978007243,55.345505689260804
5,006.jpg,0,74,6,80,0.0,42.55944372286837,54.144136339958365
6,007.jpg,0,83,1,84,0.0,48.579341092200714,60.165842231523456
7,008.jpg,3,154,3,160,0.01875,38.43561987271703,46.09406143962582
8,009.jpg,0,148,0,148,0.0,39.21790304081694,51.616504274442235
9,010.jpg,4,112,3,119,0.03361344537815126,38.17826386745177,46.88874728384988
10,011.jpg,3,158,1,162,0.018518518518518517,37.955017235318614,45.788968427227424
11,012.jpg,0,30,5,35,0.0,71.03813462801914,107.12337480014074
12,013.jpg,0,46,0,46,0.0,74.24064865721122,104.08796447152805
13,014.jpg,1,12,1,14,0.07142857142857142,74.48561702004719,114.24753826669527
14,015.jpg,0,22,0,22,0.0,74.69361661906835,101.20883001362714
15,016.jpg,1,18,6,25,0.04,75.09327533141699,108.7111769782666
16,017.jpg,1,42,5,48,0.020833333333333332,73.09269229318802,105.71561694786001
17,018.jpg,0,39,12,51,0.0,48.329608713824406,63.8671353701742
18,019.jpg,0,65,9,74,0.0,50.22389062178665,68.11466881742955
19,020.jpg,0,103,25,128,0.0,47.99333571900894,65.62577380496172
20,021.jpg,0,51,7,58,0.0,50.348355450319566,67.55942467242424
21,022.jpg,0,26,3,29,0.0,60.21656319285102,81.755944632538
22,023.jpg,0,40,8,48,0.0,54.41210419872892,78.11556609707611
23,024.jpg,0,23,0,23,0.0,49.3490231611176,61.796651098231216
24,025.jpg,0,24,2,26,0.0,44.8758501097965,58.23853799411785
25,026.jpg,0,33,0,33,0.0,49.03848210612485,62.370350376285415
26,027.jpg,0,31,0,31,0.0,48.66913475108587,59.39079704965702
