,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,522,522.0,522.0,522.0,522.0,522.0,522.0,522.0
unique,522,,,,,,,
top,522.jpg,,,,,,,
freq,1,,,,,,,
mean,,4.649425287356322,91.6896551724138,14.385057471264368,110.72413793103448,0.04805095459350874,56.26899620880024,83.66683600753258
std,,15.56787163706802,103.25506242219686,34.70886879224648,118.08515646057616,0.12210205560289662,28.875075092311395,56.49459275661155
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,27.0,0.25,35.0,0.0,37.91933860254605,48.26083791998397
50%,,0.0,59.0,5.0,75.5,0.0,45.33630892589292,62.41240403592036
75%,,2.0,121.75,14.0,146.0,0.02975803706797859,72.96631294354864,110.05792564698768
max,,195.0,886.0,540.0,973.0,0.7636363636363637,210.09940220958157,449.5247813246785
