,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,310,310.0,310.0,310.0,310.0,310.0,310.0,310.0
unique,310,,,,,,,
top,522.jpg,,,,,,,
freq,1,,,,,,,
mean,,4.867741935483871,91.08387096774193,14.567741935483872,110.51935483870967,0.04829610712015284,57.48413426133759,85.90023497751584
std,,17.486155172488854,96.3063783414108,27.74071333103057,105.50067690807194,0.12615394263433763,30.881871537966134,60.64810600078446
min,,0.0,0.0,0.0,2.0,0.0,16.312772829198877,18.975393902907307
25%,,0.0,27.0,1.0,36.0,0.0,37.97848421942783,49.173338842123584
50%,,0.0,57.0,5.5,74.5,0.0,45.73857897232483,62.41240403592036
75%,,2.0,125.0,16.0,153.75,0.029500835421888052,73.75702464308085,113.30115259840412
max,,195.0,645.0,244.0,707.0,0.7636363636363637,210.09940220958157,449.5247813246785
