epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9229,0.5775,0.83027,6.59377,1.07551,0.02861,0.2111,0.15134,0.07065,0.04159,0.26809,0.17539,0.0984,0.51698,0.73342,inf,1.02,0.00027151,0.00027151,0.00027151
2,155.796,0.57839,0.71936,4.17157,1.04458,0.02066,0.17693,0.10137,0.04911,0.03044,0.22657,0.11636,0.06081,0.58593,0.76746,inf,1.10088,0.000557174,0.000557174,0.000557174
3,180.129,0.56897,0.67768,3.0855,1.05026,0.04278,0.29555,0.19788,0.10247,0.04378,0.30185,0.1964,0.10303,0.5957,0.73192,inf,1.10089,0.000842286,0.000842286,0.000842286
4,204.3,0.54183,0.6933,2.62738,1.0285,0.90775,0.1136,0.21838,0.12464,0.9054,0.13851,0.21979,0.12288,0.55455,0.69827,inf,1.04067,0.00112643,0.00112643,0.00112643
5,228.7,0.53892,0.68455,2.57913,1.0273,0.69636,0.24236,0.24372,0.1429,0.66479,0.24102,0.24604,0.14163,0.54662,0.66202,inf,1.02166,0.00140919,0.00140919,0.00140919
6,251.071,0.51803,0.65784,2.4535,1.01445,0.71188,0.33726,0.30025,0.16717,0.70979,0.33798,0.30316,0.18825,0.55023,0.63367,inf,1.02333,0.00142029,0.00142029,0.00142029
7,273.537,0.51473,0.6368,2.36755,1.01041,0.72929,0.37259,0.32488,0.19244,0.73171,0.37214,0.32634,0.18342,0.53412,0.66939,2.7437,1.05078,0.00141647,0.00141647,0.00141647
8,295.87,0.50332,0.62401,2.33207,1.00857,0.71794,0.42097,0.36148,0.21411,0.72031,0.42258,0.36394,0.22105,0.52656,0.61578,2.58785,1.05064,0.00141196,0.00141196,0.00141196
9,317.235,0.494,0.61017,2.37003,1.00374,0.64644,0.38838,0.20635,0.11987,0.64739,0.38241,0.21299,0.12383,0.50751,0.59478,3.10745,1.03384,0.00140678,0.00140678,0.00140678
10,340.715,0.49647,0.61226,2.26186,1.00655,0.71787,0.43303,0.34505,0.21092,0.7216,0.43329,0.34799,0.20355,0.51168,0.59567,2.41194,1.04513,0.00140091,0.00140091,0.00140091
11,362.365,0.50056,0.62128,2.19786,1.01189,0.74646,0.44077,0.39866,0.24655,0.75057,0.4452,0.40419,0.22967,0.50177,0.58456,2.35843,1.03839,0.00139438,0.00139438,0.00139438
12,384.072,0.48967,0.61575,2.22557,0.9998,0.77937,0.4443,0.42192,0.25822,0.77978,0.44529,0.43129,0.25953,0.49147,0.56364,2.11252,1.02411,0.00138718,0.00138718,0.00138718
13,406.447,0.47973,0.58298,2.1135,0.97744,0.53754,0.45442,0.38508,0.23038,0.58566,0.46074,0.39891,0.21666,0.49717,0.64745,2.40979,1.0592,0.00137933,0.00137933,0.00137933
14,429.749,0.47973,0.58609,2.09341,0.98492,0.61129,0.48525,0.44836,0.27325,0.63481,0.48911,0.46128,0.27336,0.49033,0.56304,2.05919,1.03406,0.00137082,0.00137082,0.00137082
